ClassGrade,Ageyears,Handed,Height_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Birth_month,Favorite_Season,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Schoolwork_Pressure,Planned_Education_Level
10,15,Right-Handed,164,2,Bus,45,May,Spring,Mathematics and statistics,6,12,7,45,34,10,2,10,2,4,2,3,14,28,0,Very little,Undergraduate degree
10,15,Right-Handed,162.5,3,Rail (Train/Tram/Subway),60,November,Fall,Mathematics and statistics,4,3,4,100,300,12,12,12,5,2,1,30,40,20,0,A lot,Graduate degree
10,15,Right-Handed,176,2,Rail (Train/Tram/Subway),37,December,Winter,Other,7,9,5,0,0,3,1,7,5,1,35,1,0,40,2,Some,Graduate degree
12,17,Right-Handed,160,1,Car,7,September,Fall,History,8.5,8.5,3,15,17,3,1,15,6,3,1,5,3,7,4,A lot,Graduate degree
12,17,Right-Handed,161,1,Car,10,July,Fall,Science,6,8,7,9,13,10,3,15,0,7.5,0,30,3,10,10,Some,Graduate degree
12,17,Right-Handed,169,1,Bus,5,April,Fall,Languages,5,10,3,100,600,2,1,40,5,0,0,6,3,16,5,A lot,Graduate degree
12,17,Right-Handed,161,1,Car,8,December,Summer,Science,8,8.5,5,5,5,2,0,7,5,12,0,2,0.5,2,3,A lot,Graduate degree
9,16,Left-Handed,171,2,Rail (Train/Tram/Subway),30,September,Fall,Mathematics and statistics,5,9,9,10,50,8,0,2,12,1,6,2,1,6,1,A lot,High school
12,17,Right-Handed,157,1,Car,15,May,Fall,Mathematics and statistics,7,6,5,10,20,0,0,4,0,2,0,1,1,2,0,A lot,Graduate degree
12,17,Right-Handed,180,2,Car,5,February,Summer,Mathematics and statistics,8,9,3,50,200,25,1,20,15,5,0,10,10,5,5,A lot,Graduate degree
10,15,Right-Handed,169,2,Rail (Train/Tram/Subway),35,September,Spring,History,6,11,3,75,110,1,1,28,2,1,1,13,4,20,1,A lot,Graduate degree
12,17,Left-Handed,180,2,Rail (Train/Tram/Subway),45,February,Summer,English,6,6.5,4,2,0,18,4,10,3,0,2,5,9,9,0,Some,Graduate degree
10,15,Right-Handed,175,2,Rail (Train/Tram/Subway),45,November,Fall,Languages,6,10,4,13,22,5,1,18,4,1,1,5,2,70,1,A lot,Other
9,14,Right-Handed,170,1,Rail (Train/Tram/Subway),34,September,Summer,Mathematics and statistics,1,12,3,1,0,0,6,1,0,0,12,12,2,24,5,A lot,Graduate degree
12,17,Right-Handed,165,2,Bus,15,January,Fall,Art,6,10,5,10,30,5,5,21,21,0,0,21,10,84,15,A lot,Graduate degree
11,16,Right-Handed,155,3,Car,15,October,Fall,Languages,7,8,3,150,150,3,1,12,5,0,0,5,7,15,4,A lot,Graduate degree
12,17,Right-Handed,171,2,Rail (Train/Tram/Subway),45,September,Summer,Social studies,4,6,5,50,80,15,8,20,10,4,0,15,3,20,0,A lot,Graduate degree
10,15,Right-Handed,170,2,Bus,45,,,,,,,,,,,,,,,,,,,,
10,15,Right-Handed,170,2,Rail (Train/Tram/Subway),45,September,Spring,Mathematics and statistics,7,9,4,40,1000,10,2,35,0,1,30,2,50,54,0,Some,Graduate degree
12,17,Right-Handed,173,1,Bus,30,,,,,,,,,,,,,,,,,,,,
12,17,Right-Handed,163,2,Car,6,September,Fall,Science,7,10,3,30,45,10,3,8,3,12,1,10,2,5,10,A lot,Graduate degree
12,17,Right-Handed,165,2,Bus,30,September,Spring,History,6,8,3,20,30,8,3,8,10,5,1,10,8,10,10,A lot,Other
12,18,Right-Handed,173,2,Rail (Train/Tram/Subway),27,January,Winter,Computers and technology,5,8,4,100,200,5,1,2,2,4,20,5,5,20,0,Some,Graduate degree
10,15,Right-Handed,167.6,2,Car,45,October,Summer,Science,6,8,3,0,0,0.2,0.2,3,2,0.5,2,0,0,1,1,A lot,Graduate degree
12,17,Right-Handed,158,1,Walk,15,August,Summer,History,8,12,3,1,0,3,0,25,5,0,10,0,0,5,0,Some,Graduate degree
12,16,Right-Handed,173.7,1,Walk,17,August,Summer,Art,7,8,4,60,63,24,8,8,6,4,0,5,3,20,2,Some,Undergraduate degree
12,17,Left-Handed,152,1,Car,10,May,Summer,Science,7,8.5,3,30,40,10,1,7,10,12,2,4,1,15,10,Very little,High school
12,17,Right-Handed,170,2,Car,10,,,,,,,,,,,,,,,,,,,,
10,15,Right-Handed,163,3,Car,45,November,Fall,History,5,8,4,200,200,14,21,21,6,0,0,28,20,20,0,A lot,Undergraduate degree
12,18,Right-Handed,152.4,1,Car,2,March,Summer,English,6,8,4,100,132,40,10,7,2,15,0,5,6,12,3,A lot,Graduate degree
11,16,Right-Handed,155,3,Car,15,October,Fall,Languages,7,8,3,150,150,3,1,12,5,0,0,5,7,15,4,A lot,Graduate degree
10,15,Right-Handed,176,2,Bus,15,August,Spring,History,8,8,2,100,150,50,30,2,20,1,1,100,100,50,50,Some,Graduate degree
12,17,Right-Handed,173,1,Car,10,March,Fall,Music,7,10,5,50,75,2,12,20,5,21,0,24,24,6,10,A lot,Graduate degree
11,16,Right-Handed,156.5,3,Other,7,September,Winter,Social studies,5.5,8,3,110,125,10,0.5,45,30,5,0,0.5,6,40,1,A lot,Graduate degree
12,17,Left-Handed,166,2,Rail (Train/Tram/Subway),50,,,Mathematics and statistics,6,12,4,A lot,A lot,12,0,6,4,5,14,20,20,30,0,Very little,Graduate degree
10,16,Right-Handed,172,1,Walk,25,September,Summer,Art,6,10,4,3,30,5,0,0,3,0,30,20,1,70,0,None,Some college
12,20,Right-Handed,157,1,Car,22,June,Spring,Computers and technology,6,10,8,50,50,3,1,16,15,0,10,20,1,35,2,A lot,Graduate degree
10,15,Right-Handed,173,2,Rail (Train/Tram/Subway),90,August,Summer,Music,6,8,10,20,38,35,1,20,24,1,6,35,35,60,6,A lot,Graduate degree
12,17,Right-Handed,166.5,1,Car,7,,,,,,,,,,,,,,,,,,,,
12,17,Right-Handed,170,1,Rail (Train/Tram/Subway),20,June,Fall,Mathematics and statistics,6.5,10,4,6,7,14,1,24,2,10,30,3,3,45,2,Some,Graduate degree
9,15,Right-Handed,154,2,Rail (Train/Tram/Subway),30,February,Winter,Physical education,5,5,6,idk,40,1,0,1,3,6,0,0,24,0,0,Some,Graduate degree
12,17,Right-Handed,170,1,Car,13,March,Summer,Art,9,5,5,50,70,0,0,2,6,0,0,12,6,14,1,Some,Graduate degree
12,18,Right-Handed,160.2,1,Walk,1,February,Winter,Mathematics and statistics,6,8,2,50,60,12,1,6,0,8,0,8,10,8,9,Very little,Undergraduate degree
12,18,Right-Handed,190,1,Rail (Train/Tram/Subway),45,,,,,,,,,,,,,,,,,,,,
12,18,Right-Handed,179,2,Rail (Train/Tram/Subway),30,January,Winter,Mathematics and statistics,6,9,4,,,,,,,,,,,,,A lot,Graduate degree
12,18,Right-Handed,125,3,Bus,15,August,Fall,Mathematics and statistics,6,10,5,5,10,5,4,3,10,1,0,30,5,40,10,Some,Undergraduate degree
12,18,Left-Handed,183,1,Bus,20,August,Summer,Science,7,9,4,25,50,10,2,5,3,3,4,1,2,2,3,A lot,Undergraduate degree
12,17,Right-Handed,157,2,Car,3,August,Summer,Mathematics and statistics,8,10,3,30,25,8,5,5,3,10,2,8,2,2,2,Some,Graduate degree
12,17,Right-Handed,162,1,Rail (Train/Tram/Subway),90,July,Summer,Mathematics and statistics,6,8,3,40,60,10,4,4,25,2,1,90,35,70,20,A lot,Other
10,15,Ambidextrous,172,2,Rail (Train/Tram/Subway),33,September,Spring,Art,5,13,13,75,68,0,1,8,0,0,0,3,2,4,0,A lot,Undergraduate degree
12,17,Right-Handed,163,2,Bicycle,12,December,Winter,Mathematics and statistics,6,8,5,,,,,,,,,,,,,,
12,18,Ambidextrous,174,2,Walk,130,August,Winter,Mathematics and statistics,4,10,3,,,1,1,2,4,1,4,1,3,1,3,A lot,Graduate degree
12,17,Right-Handed,163,1,Car,10,September,Fall,Art,6,8,4,6,25,1,0,12,1,20,0,20,3,1,5,Some,Undergraduate degree
12,17,Right-Handed,157,4,Car,10,May,Fall,Art,10,14,4,450,600,70,20,10,30,0,100,100,100,100,100,Some,Graduate degree
12,18,Right-Handed,157,1,Car,7,October,Fall,Social studies,7,9,3,150,200,6,1,14,12,0,0,10,28,30,24,Some,Graduate degree
10,15,Right-Handed,162,1,Rail (Train/Tram/Subway),40,May,Summer,Art,7,9,3,10,7,17,12,5,2,6,1,17,2,6,10,Some,Undergraduate degree
9,17,Right-Handed,153,2,Rail (Train/Tram/Subway),15,,,,,,,,,,,,,,,,,,,,
12,18,Left-Handed,158,1,Bus,35,July,Fall,Science,8,10,3,40,48,8,2,1,2,1,2,15,2,20,2,Very little,Graduate degree
11,18,Right-Handed,180.9,1,Bus,50,April,Summer,History,8,8,3,100,100,0,1,3,5,0,0,4,6,4,2,None,High school
10,15,Right-Handed,173,3,Car,10,May,Fall,Art,6,9,4,90,90,10,1,18,1,2,10,10,10,40,10,A lot,Graduate degree
12,17,Right-Handed,162.6,1,Car,5,May,Fall,Art,7,8,3,10,10,2,,,,,,,,,,,
10,15,Right-Handed,152.4,3,Rail (Train/Tram/Subway),90,,,,,,,,,,,,,,,,,,,,
12,17,Right-Handed,180,1,Car,5,,,,,,,,,,,,,,,,,,,,
12,16,Right-Handed,160,1,Car,15,,,,,,,,,,,,,,,,,,,,
10,16,Left-Handed,174,2,Rail (Train/Tram/Subway),45,May,Spring,History,6,11,3,20,22,6,1,12,7,2,3,6,40,35,5,Some,Graduate degree
11,18,Left-Handed,165.1,1,Car,20,January,Fall,Physical education,8,9,4,85,115,15,4,10,15,20,4,8,2,18,4,Very little,Graduate degree
10,16,Right-Handed,170,1,Rail (Train/Tram/Subway),45,April,Spring,Social studies,5,6,4,5,4,5,3,12,2,2,1,14,2,10,5,Some,Graduate degree
12,18,Right-Handed,168,1,Car,30,September,Fall,English,7,9,2,74,80,10,1,19,7,4,0,21,3,24,9,Some,Graduate degree
10,15,Right-Handed,178,1,Bus,45,December,Winter,Science,7.2,7.9,5,30,36,1,3,15,10,3,0,5,2,20,8,Some,Graduate degree
9,15,Right-Handed,150,1,Rail (Train/Tram/Subway),20,April,Summer,Science,8,10,3,7,10,6,20,4,27,0,3,4,27,0,5,A lot,Graduate degree
12,17,Right-Handed,178,1,Rail (Train/Tram/Subway),20,November,Spring,Physical education,6,9,4,50,50,12,0.5,8,4,3,15,7,7,5,15,Some,Undergraduate degree
12,20,Right-Handed,160,2,Car,35,October,Fall,Mathematics and statistics,6,8,6,7,4,2,1,8,4,2,0,6,1,15,3,Some,Undergraduate degree
10,16,Right-Handed,157,2,Rail (Train/Tram/Subway),80,February,Summer,History,5.5,9,6,50,50,2,10,15,4,3,2,24,10,30,4,Some,Graduate degree
12,17,Right-Handed,168,2,Rail (Train/Tram/Subway),20,August,Spring,Art,8,9,2,30,35,30,2,20,5,0,0,10,3,30,5,Some,Undergraduate degree
12,17,Right-Handed,171.4,2,Car,7,January,Summer,History,6,9,4,8,10,20,1,10,10,20,1,10,1,2,10,A lot,Graduate degree
12,16,Right-Handed,159,1,Car,30,May,Fall,History,8,8,4,2,4,3,1,10,5,10,0,3,1,2,1,Some,Graduate degree
12,17,Right-Handed,196,1,Car,25,,,,,,,,,,,,,,,,,,,,
12,17,Right-Handed,180,2,Car,5,,,,,,,,,,,,,,,,,,,,
12,17,Right-Handed,176,1,Rail (Train/Tram/Subway),45,,,,,,,,,,,,,,,,,,,,
12,17,Right-Handed,176,3,Rail (Train/Tram/Subway),58,September,Summer,Mathematics and statistics,6,9,4,2,10,7,1,14,70,35,40,5,1,40,0,Some,Graduate degree
12,17,Right-Handed,167,1,Car,5,June,Summer,Physical education,8,7,2,10,10,12,3,2,4,5,4,10,2,10,3,Very little,Undergraduate degree
10,16,Right-Handed,198,2,Rail (Train/Tram/Subway),50,March,Spring,Art,4,8,4,2,200,2,1,1,1,1,1,1,1,1,1,Some,Graduate degree
10,16,Right-Handed,174,1,Rail (Train/Tram/Subway),45,November,Fall,English,7,8,3,15,14,5,4,6,3,0,4,6,10,10,7,Some,Undergraduate degree
10,16,Right-Handed,160,2,Bus,45,April,Summer,English,7,9,4,40,40,5,3,15,7,3,0,14,5,15,1,Some,Undergraduate degree
9,15,Right-Handed,164,2,Rail (Train/Tram/Subway),30,March,Spring,History,5,4,4,500,400,1,1,2,0,0,5,5,10,5,3,Some,Graduate degree
9,15,Left-Handed,153,2,Skateboard/Scooter/Rollerblade,35,May,Spring,Languages,7,7,3,24,16,4,4,4,4,4,4,4,4,5,6,A lot,Graduate degree
12,18,Right-Handed,173,2,Rail (Train/Tram/Subway),32,January,Fall,Science,7,7,6,20,190,0,0,3,2,5,12,3,4,12,10,Some,High school
12,18,Right-Handed,167,3,Rail (Train/Tram/Subway),45,October,Summer,Social studies,8,8,4,0,0,0,0,10,5,50,0,2,0,30,0,A lot,Graduate degree
12,18,Right-Handed,170,1,Car,10,,,,,,,,,,,,,,,,,,,,
12,16,Right-Handed,170,1,Walk,15,March,Summer,History,7,12,4,40,45,35,6,,,,,,,,,,
12,17,Right-Handed,160,1,Car,13,November,Winter,Mathematics and statistics,6,10,4,200,100,35,10,16,12,5,2,18,50,8,2,Some,Graduate degree
10,15,Right-Handed,165,2,Rail (Train/Tram/Subway),85,August,Summer,Physical education,5,13,3,4,2,1,0,30,20,0,35,6,3,70,0,A lot,Graduate degree
12,18,Right-Handed,184,3.5,Rail (Train/Tram/Subway),40,February,Spring,Computers and technology,7,9,4,500,500,14,2,0,10,21,12,8,A lot,10,10,Very little,High school
10,16,Right-Handed,171,3,Rail (Train/Tram/Subway),90,April,Winter,English,5,,,,,,,,,,,,,,,,
12,16,Right-Handed,174,1,Rail (Train/Tram/Subway),20,September,Winter,English,4,7,3,25,35,13,0.5,24,14,0,0,1.5,2,21,0,A lot,Undergraduate degree
10,15,Right-Handed,162,2,Bus,20,August,Summer,Science,8,10,5,50,120,10,0,2,8,2,0,0,1,5,2,Very little,Other
12,18,Right-Handed,165,2,Rail (Train/Tram/Subway),25,December,Spring,Social studies,5,10,3,200,200,25,0.2,5,1,5,0,3,5,35,2,A lot,Graduate degree
9,15,Right-Handed,158,1,Rail (Train/Tram/Subway),65,July,Fall,Mathematics and statistics,8,12,3,10,35,4,5,1,12,0,10,24,24,24,0,A lot,High school
12,16,Right-Handed,180,2,Car,12,January,Winter,Languages,5,12,4,200,250,3,0,5,0,0,3,10,4,60,2,A lot,Graduate degree
12,17,Right-Handed,185.4,1,Bus,10,June,Fall,Art,7.5,8,5,200,233,6,0,10,10,4,0,8,7,20,5,A lot,Undergraduate degree
10,15,Right-Handed,168,1,Bus,45,December,Summer,Art,7,9,4,45,63,20,13,9,10,,,,,,,,
12,18,Right-Handed,166,1,Rail (Train/Tram/Subway),44,April,Spring,Science,6,4,5,120,40,3,2,1,2,30min,0,5,8,3,10,Some,Graduate degree
12,16,Ambidextrous,160,3,Car,10,November,Fall,Physical education,4,8,5,90,110,1,20,44,3,14,2,4,3,50,0,,
12,17,Right-Handed,160,2,Rail (Train/Tram/Subway),40,December,Winter,Mathematics and statistics,6,8,5,200,200,10,2,5,16,5,5,20,40,35,20,Some,Graduate degree
10,15,Right-Handed,155,2,Car,45,September,Spring,Mathematics and statistics,5,8,4,3,22,5,0.2,10,14,3,0,0.5,0.3,1,0,Some,Graduate degree
9,16,Right-Handed,162,2,Rail (Train/Tram/Subway),20,January,Spring,English,8,,9,13,10,,,,,,,,,,,Some,Some college
12,17,Right-Handed,170,1,Rail (Train/Tram/Subway),50,December,Summer,Mathematics and statistics,6,9,4,2,6,15,1,3,7,20,35,15,1,45,10,Very little,High school
12,17,Right-Handed,147,1,Car,13,April,Summer,Science,7,9,4,20,25,15,5,8,7,9,6,8,5,4,4,A lot,Graduate degree
12,16,Right-Handed,67,2,Bus,14,November,Winter,English,3,5,2,20,40,4,2,20,3,2,15,20,1,24,0,A lot,Graduate degree
10,15,Right-Handed,164,2,Rail (Train/Tram/Subway),45,August,Summer,Art,6,10,4,0,0,0,0,40,2,0,0,7,1,42,6,A lot,Graduate degree
12,18,Right-Handed,157,2,Rail (Train/Tram/Subway),50,November,Fall,Mathematics and statistics,6,8,4,11,23,4,1,12,2,3,6,28,2,12,16,A lot,Graduate degree
12,17,Right-Handed,173,1,Bus,10,January,Winter,History,7,7,4,30,50,2,3,10,9,5,7,5,8,7,6,Some,Graduate degree
12,16,Ambidextrous,160,3,Car,10,,,,,,,,,,,,,,,,,,,,
12,16,Right-Handed,163,2,Rail (Train/Tram/Subway),75,July,Fall,English,4,8,2,300,300,120,24,16,120,7,1,16,120,120,90,A lot,Graduate degree
12,17,Right-Handed,173,1,Car,8,November,Fall,Art,7,9,5,25,35,5,1,12,14,15,4,6,5,10,0,A lot,Graduate degree
12,17,Right-Handed,166,2,Rail (Train/Tram/Subway),45,November,Summer,English,6,7,5,50,50,10,1,5,30,5,0,7,5,10,10,A lot,Graduate degree
12,17,Right-Handed,160,1,Car,13,November,Winter,Mathematics and statistics,6,10,4,200,100,35,10,16,12,5,2,18,50,8,2,Some,Graduate degree
10,16,Right-Handed,165,1,Rail (Train/Tram/Subway),35,October,Spring,English,9,8,3,50,3,40,25,,,,,,,,,,
10,15,Right-Handed,157,4,Rail (Train/Tram/Subway),30,,,,,,,,,25,16,13,2,2,1,6,3,6,,Some,Graduate degree
10,14,Right-Handed,160,1,Rail (Train/Tram/Subway),80,May,Spring,Mathematics and statistics,8,11,4,200,200,5,1,10,3,0,0,10,10,20,2,Very little,Graduate degree
10,15,Right-Handed,162,3,Rail (Train/Tram/Subway),100,July,Summer,Mathematics and statistics,7,9,4,50,60,14.5,1,7,8,4,0.002,20,15,40,3,Very little,Graduate degree
12,17,Right-Handed,180.4,2,Car,4,May,Summer,Social studies,8,11,5,100,200,7,1,2,6,6,1,12,2,2,1,Some,Graduate degree
12,17,Right-Handed,173,1,Bus,30,September,Fall,Music,7,7,2,2,10,24,>1,8,3,14,>1,12,>1,12,>1,Some,Graduate degree
12,16,Left-Handed,184,3,Rail (Train/Tram/Subway),40,December,Summer,Physical education,7,11,6,100,100,9,9,9,9,9,9,9,9,9,9,Some,Graduate degree
9,15,Right-Handed,162,2,Bus,20,July,Spring,Music,8,10,2,idk,idk,2,1,1,0,0,0,3,6,3,0,Some,Graduate degree
12,18,Right-Handed,169,2,Rail (Train/Tram/Subway),90,January,Winter,Social studies,8,9,4,20,21,7,4,2,0,1,0,3,4,4,0,Some,Undergraduate degree
11,17,Right-Handed,165.1,2,Bus,45,October,Summer,Physical education,1,1,4,2,40,6,,,,,,,,,,,
10,15,Right-Handed,150,3,Rail (Train/Tram/Subway),60,December,Fall,,,,,,,,,,,,,,,,,,
10,15,Right-Handed,175,2,Rail (Train/Tram/Subway),45,,,,,,,,,,,,,,,,,,,,
12,16,Right-Handed,167,1,Car,15,November,Fall,Science,6,11,3,0,0,32,1,15,5,0,0,40,12,3,9,A lot,Undergraduate degree
12,17,Right-Handed,180,2,Car,5,,,,,,,,,,,,,,,,,,,,
9,15,Ambidextrous,183,2,Rail (Train/Tram/Subway),48,March,Summer,English,8,10,5,14,15,10,2,2,5,3,4,4,2,2,1,A lot,Other
12,16,Right-Handed,158,1,Car,15,August,Summer,Music,4.5,8,5,27,21,5,1,30,10,6,2,7,4,5,7,A lot,Some college
12,17,Right-Handed,179.8,2,Rail (Train/Tram/Subway),30,March,Fall,History,8,9,4,10,8,8,1,1,2,0,5,5,0.5,5,0,Very little,Graduate degree
12,20,Right-Handed,155,1,Car,18,April,Summer,Mathematics and statistics,7,10,4,400,400,20,1,6,2,1,1,10,15,15,10,A lot,Graduate degree
10,16,Right-Handed,160,2,Rail (Train/Tram/Subway),60,February,Fall,Other,3,13,4,50,80,20,2,10,4,3,7,24,7,15,14,A lot,Graduate degree
12,18,Right-Handed,177,2,Rail (Train/Tram/Subway),60,May,Fall,Mathematics and statistics,6,10,7,360,340,20,30,5,5,0,25,30,80,100,2,A lot,Undergraduate degree
12,17,Right-Handed,167,2,Rail (Train/Tram/Subway),25,June,Summer,Physical education,8,10,3,25,34,6,3,6,5,3,8,5,3,6,5,A lot,Graduate degree
10,15,Right-Handed,175,1,Boat,45,June,Spring,Other,5,10,4,249,270,4,20,5,12,2,6,6,11,24,4,Some,
12,17,Right-Handed,172,1,Rail (Train/Tram/Subway),40,May,Spring,Computers and technology,6,8,4,5,20,3,0.5,30,4,20,15,5,1,20,3,A lot,Undergraduate degree
12,16,Right-Handed,155,1,Car,10,November,Fall,Science,10,12,4,16,12,3,0,2,10,10,0,10,7,8,0,Some,Graduate degree
11,17,Right-Handed,165.1,2,Bus,45,October,Summer,Physical education,1,1,4,2,40,6,1,0,0,4,0,6,1,2,1,Very little,High school
12,17,Right-Handed,186,1,Car,2,December,Summer,Physical education,7,9,6,0,0,30,0,7,5,12,14,18,30,30,2,Some,Undergraduate degree
10,16,Right-Handed,165,1,Rail (Train/Tram/Subway),35,October,Spring,English,9,8,3,50,3,40,25,40,20,30,0,50,50,40,25,Some,Graduate degree
12,18,Right-Handed,189,2,Rail (Train/Tram/Subway),20,January,Winter,Mathematics and statistics,6,13,5,10,20,0,0,0,0,0,0,0,0,0,0,None,Graduate degree
10,15,Right-Handed,172,1,Rail (Train/Tram/Subway),40,June,Spring,Mathematics and statistics,8,5,3,100,70,20,1,7,3,3,20,20,10,15,13,A lot,Undergraduate degree
12,17,Right-Handed,152,2,Bus,12,September,Fall,Physical education,7,9,3,10,5,10,1,10,2,18,0,3,2,7,0,Very little,Graduate degree
10,15,Right-Handed,162,3,Rail (Train/Tram/Subway),40,August,Spring,English,8,10,4,42,42,4,0.5,6,18,2,0.5,14,12,50,2,Some,Graduate degree
12,17,Left-Handed,179,1,Rail (Train/Tram/Subway),50,April,Summer,Mathematics and statistics,5,7,2,10,50,7,0,30,3,5,1,15,15,40,10,Some,Graduate degree
12,16,Right-Handed,157.5,1,Rail (Train/Tram/Subway),30,October,Summer,Science,7,10,4,10,60,35,7,22,9,11,1,14,6,27,4,A lot,Graduate degree
12,16,Right-Handed,178,2,Rail (Train/Tram/Subway),20,November,Fall,Science,6,7,5,25,30,30,10,10,1,20,4,4,2,4,0,Some,Graduate degree
12,17,Right-Handed,154,3,Rail (Train/Tram/Subway),25,August,Fall,Social studies,8,10,5,30,30,5,1,10,12,3,0,15,5,20,0,Some,Undergraduate degree
12,17,Right-Handed,170,2,Rail (Train/Tram/Subway),85,July,Winter,Languages,5.5,6,2,,,10,0.33,8,1,5.5,3,21,2,50,0,A lot,Graduate degree
12,17,Right-Handed,196,1,Car,25,December,Fall,History,6,11,4,300,300,45,5,5,20,15,20,10,7,10,15,Some,Graduate degree
12,19,Right-Handed,152.4,1,Rail (Train/Tram/Subway),45,September,Summer,Art,7,4,4,1000,1050,8,7,2,10,1,0,10,3,3,3,Very little,High school
12,17,Right-Handed,181,1,Rail (Train/Tram/Subway),40,November,Fall,History,7,9,5,40,60,12,5,20,7,15,4,10,10,15,5,A lot,Graduate degree
12,17,Right-Handed,164,1,Walk,5,April,Fall,Other,6,8,5,10,15,2,0.5,5,5,10,0,6,0.5,6,0,Some,Undergraduate degree
12,17,Ambidextrous,167.6,1,Bus,9,June,Winter,History,8,10,5,190,200,4,3,5,4,1,1,2,5,1,1,A lot,Graduate degree
11,16,Right-Handed,160,1,Bus,45,September,Summer,,,,,,,,,,,,,,,,,,
10,15,Right-Handed,168,1,Bus,30,June,Summer,Art,8,10,6,5,30,105,105,3,14,0,105,105,105,105,0,Some,Some college
12,17,Right-Handed,154.9,1,Car,7,,,,,,,,,,,,,,,,,,,,
10,16,Right-Handed,167.6,1,Bus,35,March,Spring,History,7,7.5,4,10,213,37,0,14,3,4,5,2,2,2,3,Some,Graduate degree
12,18,Right-Handed,174,2,Rail (Train/Tram/Subway),30,March,Winter,Mathematics and statistics,5,10,5,15,15,5,0,12,5,1,5,20,3,25,4,A lot,Graduate degree
10,15,Right-Handed,154,3,Bus,60,August,Winter,Science,2,7,6,150,150,3,0,20,5,0,0,12,5,12,0,A lot,Graduate degree
12,17,Right-Handed,180,1,Car,15,April,Winter,Mathematics and statistics,6,6,5,440,440,12,9,20,4,2,9,0,10,11,0,Some,Graduate degree
12,18,Right-Handed,182,1,Rail (Train/Tram/Subway),25,April,Spring,English,6,8,4,30,30,20,5,10,10,15,0.5,10,2,10,2,A lot,Graduate degree
12,17,Right-Handed,179,1,Car,20,June,Summer,,,,,,,,,,,,,,,,,,
10,16,Right-Handed,164,1,Rail (Train/Tram/Subway),25,October,Spring,Art,9,11,4,30,70,24,28,12,7,2,0,16,1,50,4,,
12,17,Right-Handed,181,3,Rail (Train/Tram/Subway),35,August,Summer,Mathematics and statistics,6,10,6,30,30,40,1,1,5,3,20,20,4,10,20,None,Graduate degree
10,15,Right-Handed,172,2,Bus,45,July,Spring,Science,8,9,6,a lot,idk,21,1,7,0,7,14,0,3,0,0,Very little,Graduate degree
10,15,Right-Handed,175,3,Rail (Train/Tram/Subway),90,July,Summer,History,8,6,5,10,20,40,0.5,18,72,14,72,2,0.5,72,10,Some,Graduate degree
12,18,Right-Handed,168.5,2,Rail (Train/Tram/Subway),30,February,Winter,Mathematics and statistics,5,8,5,250,250,20,2,6,2,3,0,6,2,30,5,A lot,Graduate degree
